2025-10-25 20:15:54.605 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:54.755 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1565, 阈值: 0.85, 匹配位置: (39, 53)
2025-10-25 20:15:54.757 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:55.076 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1565, 阈值: 0.85, 匹配位置: (39, 53)
2025-10-25 20:15:55.078 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:55.202 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1572, 阈值: 0.85, 匹配位置: (39, 53)
2025-10-25 20:15:55.204 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:55.336 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1581, 阈值: 0.85, 匹配位置: (39, 53)
2025-10-25 20:15:55.338 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:55.461 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1581, 阈值: 0.85, 匹配位置: (39, 53)
2025-10-25 20:15:55.462 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:55.580 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1581, 阈值: 0.85, 匹配位置: (39, 53)
2025-10-25 20:15:55.582 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:55.695 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1581, 阈值: 0.85, 匹配位置: (39, 53)
2025-10-25 20:15:55.697 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:55.810 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1581, 阈值: 0.85, 匹配位置: (39, 53)
2025-10-25 20:15:55.812 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:56.148 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1581, 阈值: 0.85, 匹配位置: (39, 53)
2025-10-25 20:15:56.149 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:56.408 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.1581, 阈值: 0.85, 匹配位置: (39, 53)
2025-10-25 20:15:56.410 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:56.563 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:56.565 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:56.686 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:56.688 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:56.814 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:56.815 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:56.938 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:56.939 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:57.059 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:57.061 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:57.190 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:57.191 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:57.320 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:57.322 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:57.444 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:57.446 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:57.567 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:57.569 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:57.680 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:57.681 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:57.791 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:57.793 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:57.913 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:57.914 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:58.030 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:58.031 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:58.146 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:58.147 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:58.267 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0599, 阈值: 0.85, 匹配位置: (0, 15)
2025-10-25 20:15:58.269 | DEBUG | MAIN_CHECK 模板匹配结果: False
