2025-11-11 20:09:51.323 | INFO | Device Orientation = 1 (HOME key on the right)
2025-11-11 20:09:51.325 | INFO | Droidcast resolution: (720, 1280)
2025-11-11 20:09:51.326 | INFO | Pushing DroidCast apk
2025-11-11 20:09:51.405 | INFO | Starting DroidCast apk
2025-11-11 20:09:51.410 | INFO | ShellBackgroundResponse(success=True, pid=4827, description='Successfully started program: CLASSPATH=/data/local/tmp/DroidCast_raw.apk app_process / ink.mol.droidcast_raw.Main > /dev/null')
2025-11-11 20:09:51.412 | INFO | Reuse forward: ForwardItem(serial='127.0.0.1:16384', local='tcp:20224', remote='tcp:53516')
2025-11-11 20:09:51.414 | INFO | DroidCast_raw = http://127.0.0.1:20224/screenshot?width=1280&height=720
2025-11-11 20:09:51.669 | INFO | DroidCast = offline
2025-11-11 20:09:51.773 | INFO | ^ 10 1280 720 255
2025-11-11 20:09:51.774 | INFO | $ 255
2025-11-11 20:09:51.776 | INFO | MaaTouch stream connected
2025-11-11 20:09:51.778 | INFO | max_contact: 10; max_x: 1280; max_y: 720; max_pressure: 255
2025-11-11 20:09:51.939 | INFO | DroidCast = online
2025-11-11 20:11:38.739 | INFO | Bind task ['Pcr']
2025-11-11 20:11:38.747 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-11 20:11:38.748 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-11 20:11:38.750 | INFO | Found 1 devices total
2025-11-11 20:11:38.751 | INFO | Available devices: ['127.0.0.1:16384']
2025-11-11 20:11:38.752 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-11 20:11:39.754 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-11 20:11:39.756 | INFO | Found 1 devices total
2025-11-11 20:11:39.757 | INFO |   [1] 127.0.0.1:16384 - Status: device
2025-11-11 20:11:39.758 | INFO | Available devices (status='device'): 1
2025-11-11 20:11:39.759 | INFO | Selected device: 127.0.0.1:16384
2025-11-11 20:11:39.761 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-11 20:11:39.762 | INFO | Connecting to 127.0.0.1:16384 (trial 1/3)
2025-11-11 20:11:40.764 | INFO | Connected to device: 127.0.0.1:16384
2025-11-11 20:11:40.765 | INFO | AdbDevice = AdbDevice(serial=127.0.0.1:16384)
2025-11-11 20:11:40.783 | INFO | Detected package: com.bilibili.priconne
2025-11-11 20:11:40.784 | INFO | PackageName = com.bilibili.priconne
2025-11-11 20:11:40.786 | INFO | Device initialized successfully
2025-11-11 20:11:40.787 | INFO | Early initializing MaaTouch
2025-11-11 20:11:40.788 | INFO | [bold]<<< MAATOUCH INIT >>>[/bold]
2025-11-11 20:11:40.789 | INFO | [bold]<<< DROIDCAST INIT >>>[/bold]
2025-11-11 20:11:40.790 | INFO | Stopping DroidCast
2025-11-11 20:11:40.812 | INFO | Kill pid=4827
2025-11-11 20:11:40.813 | INFO | Device Orientation = 1 (HOME key on the right)
